,Unnamed: 0,Unnamed: 0.1,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
7434,7434,68,2,2,12,0.6,0.3,1.6614384627739052,1.1212863010241063,"['[[-125 -168]', ' [ 123  199]]']","['[[ -14  130]', ' [ 142 -125]]']",0.9,0.9,1.0
7444,7444,79,4,3,46,0.6,0.3,1.0190796584452315,0.998172332009968,"['[[-166   98]', ' [ 100   26]', ' [-193 -172]', ' [ -52  -69]]']","['[[-84 132]', ' [151 -83]', ' [-63 182]]']",0.9,0.9,1.0
7447,7447,82,5,9,46,0.6,0.3,0.91545237018242,1.0106762500213489,"['[[ -23  -22]', ' [ 114   56]', ' [   0   21]', ' [-167 -189]', ' [ -66  -75]]']","['[[  88  120]', ' [ 111  -25]', ' [ -36 -190]', ' [ 168  179]', ' [ 114 -197]', ' [  72  -18]', ' [  33  -30]', ' [ 137 -174]', ' [ -42  -78]]']",0.9,0.9,1.0
7449,7449,96,4,9,24,0.6,0.3,0.9054104468764927,0.8298258675975223,"['[[-187 -200]', ' [-189 -191]', ' [-143  -56]', ' [  93   38]]']","['[[ -17 -179]', ' [ 190   41]', ' [  93 -150]', ' [ -52  -74]', ' [  91  -13]', ' [ -99   62]', ' [ 124  -89]', ' [-151  -18]', ' [ 153   67]]']",0.9,0.9,1.0
7455,7455,103,9,3,46,0.6,0.3,0.9340004337764692,1.3330103882202216,"['[[  52  148]', ' [  48 -148]', ' [  70  -68]', ' [  26  163]', ' [   9  -41]', ' [ 162  -72]', ' [  38    9]', ' [-175   52]', ' [  24 -154]]']","['[[  44  -16]', ' [-173 -197]', ' [ 155   24]]']",0.9,0.9,1.0
7460,7460,111,1,4,24,0.6,0.3,0.0,0.9116057517665944,['[[-170  127]]'],"['[[ 100  146]', ' [  44  153]', ' [ 171  -14]', ' [-168  -14]]']",0.9,0.9,1.0
7461,7461,112,2,9,12,0.5,0.3,1.4745591776555538,1.0271345442156083,"['[[-97 115]', ' [198  91]]']","['[[ 137  109]', ' [-101  118]', ' [ 104  116]', ' [  57   20]', ' [-177  -71]', ' [  80   25]', ' [ 168  128]', ' [-151 -147]', ' [-111   10]]']",0.9,0.9,1.0
7466,7466,117,4,7,24,0.3,0.5,0.980426108754632,0.9217223170387598,"['[[-147 -156]', ' [-112  -97]', ' [ 172   -5]', ' [ -97  -60]]']","['[[-126 -110]', ' [  97  127]', ' [  38 -149]', ' [ -86   59]', ' [  14   -6]', ' [-110  107]', ' [ -92   77]]']",0.9,0.9,1.0
7468,7468,119,8,5,36,0.5,0.3,0.7993491188082456,0.7972920282404012,"['[[  15 -149]', ' [  -9   -1]', ' [   7 -175]', ' [ 136  -10]', ' [  41   -4]', ' [  47 -113]', ' [ 158   95]', ' [   6  -21]]']","['[[   1  -86]', ' [  91 -170]', ' [ -32 -185]', ' [-133 -121]', ' [-131 -185]]']",0.9,0.9,1.0
7469,7469,120,8,5,46,0.5,0.3,0.7993491188082456,0.7972920282404012,"['[[  15 -149]', ' [  -9   -1]', ' [   7 -175]', ' [ 136  -10]', ' [  41   -4]', ' [  47 -113]', ' [ 158   95]', ' [   6  -21]]']","['[[   1  -86]', ' [  91 -170]', ' [ -32 -185]', ' [-133 -121]', ' [-131 -185]]']",0.9,0.9,1.0
7472,7472,128,3,10,36,0.5,0.3,1.1293008875382098,0.9975293642099868,"['[[  11  -82]', ' [-168  127]', ' [  68  102]]']","['[[ -69 -128]', ' [ -41  -22]', ' [-137  -96]', ' [ 143 -107]', ' [ -28  -52]', ' [ -88 -138]', ' [  84  189]', ' [ 183 -112]', ' [ 109  190]', ' [  76  -11]]']",0.9,0.9,1.0
7474,7474,130,8,1,24,0.5,0.3,1.0588286658200254,0.0,"['[[-135   -9]', ' [ 159   64]', ' [-157   99]', ' [ 126   78]', ' [ 176   55]', ' [ 158 -105]', ' [-117 -196]', ' [  12  170]]']",['[[-93 -98]]'],0.9,0.9,1.0
