,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
69,10,9,3,12,0.3,0.5,1.110446516552562,0.9339703884261721,1.2378594523728597,1.3860890845961298,"[[  38   69]
 [ 145   18]
 [  38  -42]
 [-167  190]
 [-178 -199]
 [-116  -14]
 [ 134  190]
 [  49  -46]
 [ 120 -185]
 [-183  132]]","[[ 166   38]
 [ 168  -79]
 [ -81  -32]
 [ 180   88]
 [  87  144]
 [ 200  191]
 [  96  -58]
 [-151  -40]
 [ -81   32]]","[[-183  132]
 [ 166   38]
 [ 168  -79]]",1.0,"frozenset({132, 69, 134, -185, -183, -116, -178, 145, 18, -46, -42, -167, 38, 49, -14, 120, -199, 190})"
70,7,8,4,12,0.3,0.5,1.0978155291558624,1.0718664478708555,0.9776336353395478,1.0818836387266701,"[[ -30  109]
 [   6 -169]
 [ -97  126]
 [  93    3]
 [ -99  -24]
 [ 166  120]
 [ 118   14]]","[[ -12  138]
 [ 139   35]
 [ 149   99]
 [   9 -166]
 [  58   -9]
 [ -85   40]
 [ 109 -197]
 [ 157   20]]","[[ 139   35]
 [ 149   99]
 [   9 -166]
 [  58   -9]]",1.0,"frozenset({-30, 3, 6, 166, -24, 109, -99, 14, 118, -169, 120, 93, 126, -97})"
71,2,2,7,12,0.3,0.5,1.2310160920249704,0.3313237822080235,0.9582180060686175,1.3796668052546202,"[[-198 -118]
 [   7  -54]]","[[-113   61]
 [-159   26]]","[[-113   61]
 [-159   26]
 [ -90  -91]
 [-165   34]
 [ -75  -85]
 [ 176   62]
 [ -23   -5]]",0.9,"frozenset({-54, -198, 7, -118})"
72,6,8,2,12,0.3,0.5,1.0369994331519439,1.1580391154383174,1.2537667007686122,1.2639075584585624,"[[ -39  -56]
 [ 196 -141]
 [ -51   74]
 [  -5 -177]
 [  77   98]
 [ -86  -68]]","[[ 129  -49]
 [-172  125]
 [-109  -11]
 [  80  131]
 [ -56  -38]
 [  30 -106]
 [  66 -198]
 [ 180  120]]","[[-109  -11]
 [  80  131]]",1.0,"frozenset({98, 196, -56, 74, -86, -51, 77, -177, -141, -39, -5, -68})"
73,8,5,4,12,0.3,0.5,1.139383981233603,1.1034132590671826,1.2129774971750853,1.202618978120493,"[[  38   66]
 [  49 -167]
 [  78   78]
 [ -94   49]
 [-143 -179]
 [-195   78]
 [ 144  181]
 [ -38 -118]]","[[ -59   14]
 [   2 -142]
 [ 187  -11]
 [-121 -153]
 [ -41  136]]","[[-195   78]
 [ 144  181]
 [ -38 -118]
 [ -59   14]]",0.9,"frozenset({66, -94, 38, -118, -179, 78, 144, 49, -143, 181, -167, -38, -195})"
74,5,7,2,12,0.3,0.5,1.153497128323653,0.7992845061307239,0.45769292017566465,0.8496337041311458,"[[  62  -99]
 [ 138   16]
 [-197  165]
 [ -37  123]
 [ 199 -191]]","[[ -42  185]
 [-136  -65]
 [ -74   19]
 [-138  -67]
 [ -93 -159]
 [ 136 -120]
 [-141   52]]","[[ -74   19]
 [-138  -67]]",0.8,"frozenset({-191, 165, -37, 199, 138, 123, 16, -197, -99, 62})"
75,9,6,3,12,0.3,0.5,0.8237378973286779,1.0840780643615275,1.3761666743255048,1.069455741864907,"[[ 127  138]
 [ 171  124]
 [  56  -28]
 [  54  -51]
 [  79  -29]
 [-132  -59]
 [ 196 -153]
 [ -35   94]
 [  12  188]]","[[ -95 -190]
 [ 114 -106]
 [ 161  -76]
 [-167  122]
 [ -92 -160]
 [-117  168]]","[[ 196 -153]
 [ -35   94]
 [  12  188]]",0.7,"frozenset({196, -59, 138, 12, -51, 79, -35, 94, -29, -28, -153, 171, 124, 188, 54, 56, -132, 127})"
76,5,1,1,12,0.3,0.5,1.0153032971244513,0.0,0.0,0.0,"[[195  29]
 [-24  -3]
 [ 86 146]
 [141 157]
 [ 24 -87]]",[[187 -48]],[[-24  -3]],0.0,"frozenset({195, -24, -87, 141, 29, 146, 86, 157, 24, -3})"
77,1,4,7,12,0.3,0.5,0.0,1.2568894539358682,0.9551238610138566,0.9729085140439007,[[ 105 -156]],"[[  30 -106]
 [-198 -194]
 [ 128   78]
 [ -39 -196]]","[[ -39 -196]
 [-111  -21]
 [  77 -178]
 [-109 -147]
 [ -13  -58]
 [-158  130]
 [  24   31]]",0.9,"frozenset({105, -156})"
78,2,10,6,12,0.3,0.5,1.6830560685196687,0.7782312749552321,0.7511776092261372,0.8616696378619414,"[[ 152 -128]
 [ -73  158]]","[[ -90   74]
 [ -36   17]
 [  25  178]
 [-187 -127]
 [  14  177]
 [ 124   31]
 [  74  167]
 [  -4  108]
 [-130  145]
 [ -11   19]]","[[-130  145]
 [ -11   19]
 [  37 -147]
 [ -32 -126]
 [  13  -53]
 [-115  -21]]",0.2,"frozenset({152, -128, 158, -73})"
