,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
58,7,10,24,0.1,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
59,7,10,36,0.1,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
60,7,10,46,0.1,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
61,7,10,12,0.3,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
62,7,10,24,0.3,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
63,7,10,36,0.3,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
64,7,10,46,0.3,0.6,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
65,4,4,24,0.6,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
66,7,10,36,0.6,0.3,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
67,7,10,46,0.6,0.3,5.0,5.0,"['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,1.0,0.9
