,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
69,10,6,7,36,0.3,0.5,1.1111356393057403,0.9965870646736505,1.0768868362738495,1.0939936299958888,"[[ 103  129]
 [  97   50]
 [-161  113]
 [ -75 -198]
 [ -90   -2]
 [  64 -195]
 [  37 -194]
 [-199  -14]
 [  98 -131]
 [-112  156]]","[[-128   46]
 [-108  172]
 [  78 -110]
 [ 127  133]
 [ 116   81]
 [ -44  -70]]","[[  37 -194]
 [-199  -14]
 [  98 -131]
 [-112  156]
 [-128   46]
 [-108  172]
 [  78 -110]]",1.0,0.9,1.0
70,7,9,6,36,0.3,0.5,0.8843178649587352,1.2132671762079232,1.2303336031242922,1.1566577256937487,"[[-127 -134]
 [  46   29]
 [ -90   -6]
 [-116   37]
 [-175  -80]
 [-127   66]
 [ 155   15]]","[[ 140  136]
 [-108 -186]
 [-125   43]
 [ 151 -188]
 [ -42   22]
 [-148  161]
 [ 185  173]
 [ -83   15]
 [-113   51]]","[[-125   43]
 [ 151 -188]
 [ -42   22]
 [-148  161]
 [ 185  173]
 [ -83   15]]",0.9,0.9,1.0
71,10,5,8,36,0.3,0.5,0.9915059949648631,1.1319213211479058,1.0472161928162231,0.928936786084919,"[[ -55  -14]
 [  60   11]
 [ 121   -6]
 [ -42 -197]
 [-149   -1]
 [ 137   46]
 [ 145   99]
 [-118   15]
 [ 150   83]
 [ -47  114]]","[[ -69  109]
 [  90 -158]
 [ 140   68]
 [   6 -158]
 [ -68  -61]]","[[ 137   46]
 [ 145   99]
 [-118   15]
 [ 150   83]
 [ -47  114]
 [ -69  109]
 [  90 -158]
 [ 140   68]]",1.0,0.9,1.0
72,5,5,2,36,0.3,0.5,0.643630583537606,1.274197341238957,1.8020589212015956,1.7845088043246509,"[[   4   55]
 [  91  -32]
 [  43 -178]
 [ 152  -40]
 [  34 -124]]","[[ 146  188]
 [-115 -177]
 [ -67    9]
 [  39 -128]
 [-133  195]]","[[ 146  188]
 [-115 -177]]",0.3,0.9,0.7
73,5,6,9,36,0.3,0.5,0.9703063865395338,1.1087718067890118,1.2173893863980976,1.2280219544100985,"[[ -25   50]
 [   2   86]
 [-196  121]
 [  80   28]
 [ -69   38]]","[[ -30   52]
 [ 140    5]
 [-172  134]
 [-147  144]
 [-135   42]
 [-146  103]]","[[ 140    5]
 [-172  134]
 [-147  144]
 [-135   42]
 [-146  103]
 [ 136 -164]
 [-169   -6]
 [-131 -111]
 [  31   15]]",1.0,0.9,1.0
74,9,4,5,36,0.3,0.5,1.0546656845755757,1.2329108110901759,1.0442562262607165,0.9891465304485942,"[[-122 -140]
 [ 196   -5]
 [  97 -146]
 [ 194   10]
 [-106 -146]
 [ -44  -48]
 [-147  133]
 [  24   82]
 [  99   28]]","[[  -1 -168]
 [ -61  156]
 [ 150  -23]
 [-103 -164]]","[[-106 -146]
 [ -44  -48]
 [-147  133]
 [  24   82]
 [  99   28]]",0.9,0.9,0.9
75,2,3,2,36,0.3,0.5,1.2219445136552605,1.3799470335997397,1.2282719401785427,1.5089486647585855,"[[-18 135]
 [ 69 -24]]","[[  48  126]
 [  40   19]
 [ 146 -158]]","[[  40   19]
 [ 146 -158]]",0.3,0.9,0.9
76,5,5,10,36,0.3,0.5,0.974334761638651,1.01749461986042,1.175659830624534,1.1673907260893517,"[[ -40   20]
 [  51  130]
 [  92 -137]
 [ 136  -37]
 [-176   10]]","[[-136 -129]
 [ -66  135]
 [  14 -163]
 [-200  131]
 [ -65  124]]","[[-136 -129]
 [ -66  135]
 [  14 -163]
 [-200  131]
 [ -65  124]
 [ 189  -50]
 [-131 -136]
 [-178 -153]
 [ 194  -58]
 [ 148  158]]",0.6,0.9,1.0
77,2,3,1,36,0.3,0.5,1.2517293230634763,1.003300910044337,0.0,0.0,"[[-145 -103]
 [  26  132]]","[[  33  -33]
 [ 174  113]
 [  16 -188]]",[[174 113]],0.0,0.9,0.0
78,8,2,6,36,0.3,0.5,1.0874851940819497,0.6846930060114218,1.202584707315003,1.1576238581701312,"[[ 101  -45]
 [-119  -32]
 [-161  -70]
 [-154  -52]
 [-169 -173]
 [-198  181]
 [ -23 -195]
 [ 114  -48]]","[[-194  109]
 [-106    7]]","[[-161  -70]
 [-154  -52]
 [-169 -173]
 [-198  181]
 [ -23 -195]
 [ 114  -48]]",0.9,0.9,0.0
79,9,3,3,36,0.3,0.5,0.8457209311462208,1.1291401723443824,1.363332679879935,1.1028780996668737,"[[ 134 -135]
 [  41   80]
 [ 102   40]
 [ 153   81]
 [ 150    1]
 [-138   84]
 [ 173  138]
 [  99  -38]
 [  24  200]]","[[ -70 -105]
 [  73  158]
 [-116   99]]","[[ 153   81]
 [ 150    1]
 [-138   84]]",0.5,0.9,0.9
80,7,1,2,36,0.3,0.5,0.8155001910745884,0.0,0.9318764965310314,0.5656268380036414,"[[ 163  -96]
 [ 141  -10]
 [  28   68]
 [ -47  -86]
 [ -62  -58]
 [ 167  -63]
 [-138  142]]",[[-135  132]],"[[141 -10]
 [ 28  68]]",0.4,0.9,0.0
81,3,4,7,36,0.3,0.5,0.9983015491222572,0.8041588650584336,0.8525266243105954,1.1206009220174764,"[[  -9  158]
 [ 172  139]
 [-181   15]]","[[-160  141]
 [ 139  -75]
 [ 106 -132]
 [ 121  -62]]","[[ 139  -75]
 [ 106 -132]
 [ 121  -62]
 [ -36   75]
 [ 106  179]
 [  16 -148]
 [-102   79]]",1.0,0.9,0.0
82,1,1,8,36,0.3,0.5,0.0,0.0,0.6832720082477073,1.4513456714719928,[[125 141]],[[-17 -53]],"[[ -17  -53]
 [-188 -177]
 [  81   22]
 [-173 -156]
 [  71  -70]
 [  53  -55]
 [-143 -189]
 [  74   73]]",0.4,0.9,0.3
