,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
48,1,3,46,0.1,0.3,0.0,1.0856348740855792,[[-61  -7]],"[[  68 -195]
 [ 162 -102]
 [-171 -156]]",0.0,0.9,0.0
49,10,3,46,0.1,0.3,1.2666990636852853,0.9067332230203184,"[[  49 -182]
 [  24   -8]
 [-137  171]
 [  16  -94]
 [ -51  179]
 [-122 -169]
 [ 165 -139]
 [-146  179]
 [-181  -65]
 [ 135  131]]","[[ 52 156]
 [-50 -78]
 [ 13 -65]]",0.0,0.9,0.0
50,3,6,46,0.1,0.3,1.3043718852481863,0.9801779204677765,"[[-111   25]
 [ 119 -196]
 [ -64  175]]","[[ 150  -67]
 [ -44 -197]
 [  74  -42]
 [-107  -83]
 [  89   -7]
 [-154  185]]",0.0,0.9,0.0
51,8,2,46,0.1,0.3,1.2138387443541874,0.9781454651713403,"[[ 186 -156]
 [ 170   30]
 [  81 -136]
 [-124  -70]
 [-178  158]
 [  26  130]
 [ 123  168]
 [ 194    7]]","[[-21   8]
 [ 77 186]]",0.0,0.9,0.0
52,3,5,46,0.1,0.3,0.2512984490868685,0.7375633236338317,"[[-170 -169]
 [ -78 -161]
 [-150 -186]]","[[-170  -64]
 [ 108  -64]
 [ -44   75]
 [ 116  -20]
 [ 105   84]]",0.0,0.9,0.0
53,5,10,46,0.1,0.3,0.8246484892015195,0.906247168416329,"[[  26  117]
 [ 191    5]
 [  71  187]
 [ 147   57]
 [ -70 -144]]","[[ -63   -7]
 [ -55 -149]
 [ -56 -190]
 [-157  -64]
 [ 176  136]
 [-182  -62]
 [ -47  176]
 [-185 -113]
 [ -77  168]
 [-154  196]]",1.0,0.9,1.0
54,1,7,46,0.1,0.3,0.0,1.246584986840856,[[67  9]],"[[ -59 -182]
 [-185   36]
 [ 148 -142]
 [ 109  118]
 [ -22  -75]
 [ -96  122]
 [-112   25]]",0.0,0.9,0.0
55,5,8,46,0.1,0.3,1.0107049884584507,1.100528324664492,"[[  70   15]
 [ 133   58]
 [-145   97]
 [ 112  135]
 [-131  -69]]","[[ 106  161]
 [  69 -112]
 [ 193 -140]
 [ 120 -140]
 [  35  104]
 [  18  196]
 [-126   89]
 [ -24  -77]]",0.1,0.9,0.0
56,9,4,46,0.1,0.3,0.7961467698722282,0.8501570432776567,"[[ 166  -86]
 [-107  -86]
 [ 108 -182]
 [ -62   89]
 [ -90  -29]
 [-135   14]
 [-193  -81]
 [ -78  -62]
 [-150 -132]]","[[ 154   -4]
 [  80  -27]
 [ 154  146]
 [-101   18]]",0.0,0.9,0.0
57,2,9,46,0.1,0.3,1.2211599804644808,1.0420775121426167,"[[ 88 192]
 [101 -31]]","[[ 185  188]
 [ 128   86]
 [-159   63]
 [  88  161]
 [ 104   64]
 [ -90  124]
 [ -97  100]
 [ -85  -88]
 [  -1   -4]]",0.0,0.9,0.0
