,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,f1,Precision,Recall,Optimizer
1320,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,1,0.6557948350906372,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1321,3000,0.0001,512,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.6601016283035278,0.65415860414505,0.6545454502105713,0.7943974733352661,0.6647651791572571,0.9969040155410768,adam
1322,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1323,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1324,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1325,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,None,1,0.6547786116600036,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1326,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,None,0,0.6556012630462646,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1327,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,None,1,0.6527462005615234,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1328,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,None,0,0.6522138833999633,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1329,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,None,1,0.6535204529762269,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1330,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,None,0,0.6522138953208924,0.655705988407135,0.655705988407135,0.7940651774406433,0.6628676652908325,1.0,adam
1331,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_normal,l1,1,0.6566658735275268,0.6560928344726562,0.6529980659484863,0.7940651178359985,0.6628676652908325,1.0,adam
1332,3000,0.0001,512,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1333,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1334,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_normal,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
