,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,Optimizer
179,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,1,0.9083125829696655,0.9075697183609008,0.9300198912620544,adam
180,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l1,1,0.9547038197517396,0.9143426418304444,0.9335984110832214,adam
181,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l1,1,0.8971129894256592,0.90756973028183,0.9184890627861024,adam
182,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l2,1,0.944300639629364,0.9199203252792358,0.9256461262702942,adam
183,3000,0.0001,256,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,1,0.881383764743805,0.9039840579032898,0.9109344005584716,adam
184,3000,0.0001,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l2,1,0.8983573913574219,0.911155366897583,0.9208747625350951,adam
185,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l2,1,0.9101543068885805,0.9127489924430848,0.932803189754486,adam
186,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,1,0.9320059776306152,0.9286852598190308,0.944731616973877,adam
187,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,1,0.8826281666755676,0.9,0.9149105310440064,adam
188,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,1,0.9346938729286194,0.9266932368278504,0.9407554745674134,adam
189,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,1,0.9029367923736572,0.9063745021820068,0.9252485036849976,adam
190,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,he_normal,l1,1,0.9271776914596558,0.9175298810005188,0.9320079445838928,adam
191,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,he_normal,l1,1,0.884071695804596,0.9031872510910034,0.9125248670578004,adam
192,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,he_normal,l2,1,0.9312593460083008,0.9227091670036316,0.9415507078170776,adam
193,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,he_normal,l2,1,0.9034345388412476,0.9079681277275086,0.9240556597709656,adam
194,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
195,3000,0.0001,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.9447984099388124,0.909960150718689,0.9304174900054932,adam
196,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
197,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
198,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
199,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,random_uniform,l1,1,0.9333001613616944,0.9223107695579528,0.9395626306533812,adam
200,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,random_uniform,l1,1,0.8804878115653991,0.8900398373603821,0.9057654023170472,adam
201,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,random_uniform,l2,1,0.9343454480171204,0.9203187227249146,0.9395626425743104,adam
202,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,random_uniform,l2,1,0.8989049196243286,0.907171320915222,0.9232604265213012,adam
203,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.932802391052246,0.924701189994812,0.9355864882469176,adam
204,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,random_normal,l1,1,0.8845196604728699,0.8968127489089965,0.9033797383308412,adam
205,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,relu,random_normal,l2,1,0.9361871600151062,0.9239043951034546,0.9379721760749816,adam
206,3000,0.0001,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l1,1,0.8930313587188721,0.9083665490150452,0.9141153216362,adam
207,3000,0.0002,1024,"[100, 75, 50, 25]",0.25,elu,random_normal,l2,1,0.9039323091506958,0.9031872391700744,0.9256461262702942,adam
208,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.9545047402381897,0.9254980087280272,0.922465205192566,adam
209,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,he_uniform,l1,1,0.8951717376708984,0.9079681396484376,0.9137176871299744,adam
210,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,he_uniform,l2,1,0.9413638710975648,0.911155378818512,0.9228628158569336,adam
211,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,1,0.9135390639305114,0.9163346767425538,0.9339960217475892,adam
212,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.9523643612861632,0.9179282903671264,0.930417501926422,adam
213,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,1,0.8967645525932312,0.906374490261078,0.9180914402008056,adam
214,3000,0.0002,1024,"[100, 75, 50, 25]",0.1,relu,he_normal,l2,1,0.944649076461792,0.9083665370941162,0.9244532823562622,adam
